"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",1,1,77,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","1","gambleWin","25","1487",1168,"39","undefined","undefined","undefined",103097
"2",2,2,77,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","2","gambleWin","25","980",1169,"37","undefined","undefined","undefined",106258
"3",3,3,77,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","3","nonGamble","25","682",894,"38","undefined","undefined","undefined",108843
"4",4,4,77,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","4","gambleLoss","25","897",740,"39","undefined","undefined","undefined",111486
"5",5,5,77,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","5","gambleLoss","25","515",662,"37","undefined","undefined","undefined",113675
"6",6,6,77,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","6","gambleLoss","25","441",630,"39","undefined","undefined","undefined",115759
"7",7,7,77,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","7","gambleLoss","25","406",798,"37","undefined","undefined","undefined",117972
"8",8,8,77,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","8","gambleWin","25","525",562,"39","undefined","undefined","undefined",120069
"9",9,9,77,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","9","nonGamble","25","633",672,"38","undefined","undefined","undefined",122386
"10",10,10,77,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","10","gambleLoss","25","829",1037,"39","undefined","undefined","undefined",125263
"11",11,11,77,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","11","gambleWin","25","615",693,"39","undefined","undefined","undefined",127581
"12",12,12,77,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","12","nonGamble","25","484",619,"38","undefined","undefined","undefined",129696
"13",13,13,77,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","13","gambleLoss","25","624",1050,"39","undefined","undefined","undefined",132380
"14",14,14,77,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","14","gambleWin","25","413",851,"39","undefined","undefined","undefined",134652
"15",15,15,77,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","15","gambleWin","25","69",2456,"39","undefined","undefined","undefined",138189
"16",16,16,77,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","16","nonGamble","25","624",546,"38","undefined","undefined","undefined",140369
"17",17,17,77,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","17","gambleWin","25","831",663,"39","undefined","undefined","undefined",142869
"18",18,18,77,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","18","nonGamble","25","201",2447,"38","undefined","undefined","undefined",146528
"19",19,19,77,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","19","gambleWin","25","507",1246,"37","undefined","undefined","undefined",149293
"20",20,20,77,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","20","gambleLoss","25","785",872,"37","undefined","undefined","undefined",151961
"21",21,21,77,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","21","gambleWin","25","813",1359,"37","undefined","undefined","undefined",155144
"22",22,22,77,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","22","gambleWin","25","353",914,"37","undefined","undefined","undefined",157421
"23",23,23,77,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","23","nonGamble","25","789",1392,"38","undefined","undefined","undefined",160610
"24",24,24,77,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","24","nonGamble","25","1605",1350,"38","undefined","undefined","undefined",164577
"25",25,25,77,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","25","gambleWin","25","633",1029,"39","undefined","undefined","undefined",167248
"26",26,26,77,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","26","gambleWin","25","408",762,"39","undefined","undefined","undefined",169428
"27",27,27,77,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","27","nonGamble","25","292",681,"38","undefined","undefined","undefined",171412
"28",28,28,77,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","28","gambleLoss","25","485",852,"39","undefined","undefined","undefined",173756
"29",29,29,77,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","29","gambleLoss","25","152",648,"39","undefined","undefined","undefined",175564
"30",30,30,77,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","30","nonGamble","25","393",516,"38","undefined","undefined","undefined",177485
"31",31,31,77,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","31","nonGamble","25","549",709,"38","undefined","undefined","undefined",179753
