"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",1,1,3,21,"Female","belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","1","gambleWin","25","5439",1484,"37","undefined","undefined","undefined",102062
"2",2,2,3,21,"Female","belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","2","nonGamble","25","1584",2148,"38","undefined","undefined","undefined",106809
"3",3,3,3,21,"Female","belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","3","gambleWin","25","4318",1014,"39","undefined","undefined","undefined",113149
"4",4,4,3,21,"Female","belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","4","gambleLoss","25","1335",1084,"37","undefined","undefined","undefined",116576
"5",5,5,3,21,"Female","belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","5","nonGamble","25","1091",988,"40","undefined","undefined","undefined",119670
"6",6,6,3,21,"Female","belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","6","gambleLoss","25","1110",827,"39","undefined","undefined","undefined",122630
"7",7,7,3,21,"Female","belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","7","nonGamble","25","994",716,"40","undefined","undefined","undefined",125347
"8",8,8,3,21,"Female","belg","Somewhat unhappy","<img src='images/green25.png'></img>","No music","8","gambleLoss","25","1170",263,"37","undefined","undefined","undefined",127789
"9",9,9,3,21,"Female","belg","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","9","gambleWin","25","329",662,"37","undefined","undefined","undefined",129795
"10",10,10,3,21,"Female","belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","10","nonGamble","25","212",1870,"40","undefined","undefined","undefined",132885
"11",11,11,3,21,"Female","belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","11","gambleLoss","25","731",517,"37","undefined","undefined","undefined",135140
"12",12,12,3,21,"Female","belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","12","gambleWin","25","383",834,"39","undefined","undefined","undefined",137370
"13",13,13,3,21,"Female","belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","13","nonGamble","25","991",432,"40","undefined","undefined","undefined",139808
"14",14,14,3,21,"Female","belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","14","nonGamble","25","958",809,"40","undefined","undefined","undefined",142586
"15",15,15,3,21,"Female","belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","15","gambleLoss","25","1999",612,"39","undefined","undefined","undefined",146213
"16",16,16,3,21,"Female","belg","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","16","gambleWin","25","851",791,"37","undefined","undefined","undefined",148874
"17",17,17,3,21,"Female","belg","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","17","gambleLoss","25","469",767,"37","undefined","undefined","undefined",151120
"18",18,18,3,21,"Female","belg","Somewhat unhappy","<img src='images/green25.png'></img>","No music","18","gambleLoss","25","270",734,"39","undefined","undefined","undefined",153139
"19",19,19,3,21,"Female","belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","19","gambleLoss","25","252",454,"39","undefined","undefined","undefined",154853
"20",20,20,3,21,"Female","belg","Somewhat unhappy","<img src='images/green25.png'></img>","No music","20","gambleLoss","25","298",627,"39","undefined","undefined","undefined",156782
"21",21,21,3,21,"Female","belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","21","nonGamble","25","291",1169,"38","undefined","undefined","undefined",159259
"22",22,22,3,21,"Female","belg","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","22","gambleLoss","25","396",1168,"37","undefined","undefined","undefined",161836
"23",23,23,3,21,"Female","belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","23","gambleLoss","25","538",343,"39","undefined","undefined","undefined",163732
"24",24,24,3,21,"Female","belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","24","nonGamble","25","267",675,"38","undefined","undefined","undefined",165688
"25",25,25,3,21,"Female","belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","25","gambleWin","25","755",492,"39","undefined","undefined","undefined",167946
"26",26,26,3,21,"Female","belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","26","nonGamble","25","562",621,"38","undefined","undefined","undefined",170144
"27",27,27,3,21,"Female","belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","27","nonGamble","25","281",810,"38","undefined","undefined","undefined",172253
"28",28,28,3,21,"Female","belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","28","nonGamble","25","538",902,"38","undefined","undefined","undefined",174701
"29",29,29,3,21,"Female","belg","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","29","gambleWin","25","580",567,"37","undefined","undefined","undefined",176859
"30",30,30,3,21,"Female","belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","30","nonGamble","25","621",711,"40","undefined","undefined","undefined",179199
"31",31,31,3,21,"Female","belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","31","gambleWin","25","867",716,"39","undefined","undefined","undefined",181791
"32",32,32,3,21,"Female","belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","32","gambleWin","25","332",895,"37","undefined","undefined","undefined",184027
"33",33,33,3,21,"Female","belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","33","gambleWin","25","221",923,"39","undefined","undefined","undefined",186185
