"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",1,1,55,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","1","nonGamble","25","4237",2658,"38","undefined","undefined","undefined",261745
"2",2,2,55,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","2","gambleLoss","25","1514",2356,"39","undefined","undefined","undefined",266628
"3",3,3,55,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","3","gambleWin","25","790",1632,"39","undefined","undefined","undefined",270065
"4",4,4,55,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","4","gambleLoss","25","952",2232,"37","undefined","undefined","undefined",274265
"5",5,5,55,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","5","gambleLoss","25","1169",2718,"39","undefined","undefined","undefined",279169
"6",6,6,55,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","6","nonGamble","25","793",2199,"38","undefined","undefined","undefined",283173
"7",7,7,55,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","7","gambleLoss","25","2075",1284,"39","undefined","undefined","undefined",287550
"8",8,8,55,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","8","gambleLoss","25","578",3028,"39","undefined","undefined","undefined",292166
"9",9,9,55,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","9","gambleLoss","25","718",1335,"37","undefined","undefined","undefined",295245
"10",10,10,55,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","10","gambleWin","25","527",1344,"37","undefined","undefined","undefined",298131
"11",11,11,55,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","11","gambleLoss","25","2056",2024,"39","undefined","undefined","undefined",303221
"12",12,12,55,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","12","gambleWin","25","484",1471,"39","undefined","undefined","undefined",306187
"13",13,13,55,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","13","gambleWin","25","649",3109,"37","undefined","undefined","undefined",310967
"14",14,14,55,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","14","nonGamble","25","1539",1774,"38","undefined","undefined","undefined",315296
"15",15,15,55,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","15","gambleLoss","25","3657",1288,"39","undefined","undefined","undefined",321257
"16",16,16,55,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","16","gambleLoss","25","487",306,"39","undefined","undefined","undefined",323069
"17",17,17,55,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","17","gambleLoss","25","1045",1013,"39","undefined","undefined","undefined",326137
"18",18,18,55,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","18","gambleWin","25","443",366,"39","undefined","undefined","undefined",327968
"19",19,19,55,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","19","nonGamble","25","528",1525,"38","undefined","undefined","undefined",331030
