"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",1,1,98,19,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","1","gambleLoss","25","3217",1357,"39","undefined","undefined","undefined",403300
"2",2,2,98,19,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","2","gambleWin","25","142",1054,"39","undefined","undefined","undefined",405504
"3",3,3,98,19,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","3","gambleWin","25","1314",2164,"39","undefined","undefined","undefined",409988
"4",4,4,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","4","nonGamble","25","559",819,"38","undefined","undefined","undefined",412373
"5",5,5,98,19,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","5","gambleWin","25","1180",781,"37","undefined","undefined","undefined",415341
"6",6,6,98,19,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","6","gambleLoss","25","60",1027,"37","undefined","undefined","undefined",417437
"7",7,7,98,19,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","7","gambleWin","25","1026",1804,"39","undefined","undefined","undefined",421276
"8",8,8,98,19,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","8","gambleWin","25","761",1319,"39","undefined","undefined","undefined",424362
"9",9,9,98,19,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","9","gambleWin","25","819",1018,"39","undefined","undefined","undefined",427208
"10",10,10,98,19,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","10","gambleLoss","25","566",778,"39","undefined","undefined","undefined",429556
"11",11,11,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","11","nonGamble","25","73",1089,"38","undefined","undefined","undefined",431725
"12",12,12,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","12","nonGamble","25","750",949,"40","undefined","undefined","undefined",434434
"13",13,13,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","13","nonGamble","25","473",973,"40","undefined","undefined","undefined",436889
"14",14,14,98,19,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","14","gambleWin","25","360",1340,"37","undefined","undefined","undefined",439596
"15",15,15,98,19,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","15","gambleLoss","25","505",464,"37","undefined","undefined","undefined",441575
"16",16,16,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","16","nonGamble","25","54",1621,"38","undefined","undefined","undefined",444256
"17",17,17,98,19,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","17","gambleLoss","25","539",1036,"39","undefined","undefined","undefined",446835
"18",18,18,98,19,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","18","gambleWin","25","603",1857,"37","undefined","undefined","undefined",450304
"19",19,19,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","19","nonGamble","25","230",924,"40","undefined","undefined","undefined",452466
"20",20,20,98,19,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","20","gambleLoss","25","532",856,"37","undefined","undefined","undefined",454858
"21",21,21,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","21","nonGamble","25","419",812,"38","undefined","undefined","undefined",457096
"22",22,22,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","22","nonGamble","25","409",784,"38","undefined","undefined","undefined",459298
"23",23,23,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","23","nonGamble","25","322",620,"38","undefined","undefined","undefined",461250
"24",24,24,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","24","nonGamble","25","354",802,"38","undefined","undefined","undefined",463416
"25",25,25,98,19,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","25","gambleWin","25","477",690,"39","undefined","undefined","undefined",465592
"26",26,26,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","26","nonGamble","25","404",468,"38","undefined","undefined","undefined",467470
"27",27,27,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","27","nonGamble","25","2",1395,"40","undefined","undefined","undefined",469874
"28",28,28,98,19,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","28","gambleLoss","25","294",488,"37","undefined","undefined","undefined",471665
"29",29,29,98,19,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","29","gambleLoss","25","424",481,"37","undefined","undefined","undefined",473577
"30",30,30,98,19,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","30","gambleLoss","25","390",687,"39","undefined","undefined","undefined",475659
"31",31,31,98,19,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","31","gambleLoss","25","13",526,"39","undefined","undefined","undefined",477205
"32",32,32,98,19,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","32","gambleLoss","25","1136",1170,"37","undefined","undefined","undefined",480519
"33",33,33,98,19,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","33","gambleWin","25","109",843,"37","undefined","undefined","undefined",482478
"34",34,34,98,19,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","34","gambleWin","25","629",703,"37","undefined","undefined","undefined",484820
"35",35,35,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","35","nonGamble","25","1185",1983,"38","undefined","undefined","undefined",488996
"36",36,36,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","36","nonGamble","25","317",959,"40","undefined","undefined","undefined",491281
"37",37,37,98,19,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","37","gambleWin","25","459",712,"37","undefined","undefined","undefined",493458
"38",38,38,98,19,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","38","gambleWin","25","344",667,"39","undefined","undefined","undefined",495477
"39",39,39,98,19,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","39","gambleWin","25","257",1333,"37","undefined","undefined","undefined",498075
"40",40,40,98,19,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","40","gambleLoss","25","34",1098,"39","undefined","undefined","undefined",500213
"41",41,41,98,19,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","41","gambleWin","25","498",1006,"39","undefined","undefined","undefined",502725
"42",42,42,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","42","nonGamble","25","551",942,"38","undefined","undefined","undefined",505226
"43",43,43,98,19,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","43","gambleLoss","25","626",502,"39","undefined","undefined","undefined",507362
"44",44,44,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","44","nonGamble","25","383",735,"40","undefined","undefined","undefined",509486
"45",45,45,98,19,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","45","gambleLoss","25","354",459,"39","undefined","undefined","undefined",511307
"46",46,46,98,19,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","46","gambleLoss","25","314",1198,"37","undefined","undefined","undefined",513827
"47",47,47,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","47","nonGamble","25","441",772,"40","undefined","undefined","undefined",516046
"48",48,48,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","48","nonGamble","25","91",1194,"40","undefined","undefined","undefined",518339
"49",49,49,98,19,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","49","gambleWin","25","452",527,"39","undefined","undefined","undefined",520329
"50",50,50,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","50","nonGamble","25","453",918,"38","undefined","undefined","undefined",522710
"51",51,51,98,19,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","51","gambleLoss","25","349",830,"37","undefined","undefined","undefined",524896
"52",52,52,98,19,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","52","nonGamble","25","597",831,"38","undefined","undefined","undefined",527331
"53",53,53,98,19,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","53","gambleWin","25","598",1161,"39","undefined","undefined","undefined",530099
"54",54,54,98,19,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","54","gambleWin","25","438",1478,"37","undefined","undefined","undefined",533026
"55",55,55,98,19,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","55","gambleLoss","25","44",1118,"37","undefined","undefined","undefined",535193
