"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",1,1,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/green25.png'></img>","No music","1","gambleLoss","25","1303",1774,"37","undefined","undefined","undefined",83670
"2",2,2,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","2","gambleLoss","25","994",1554,"39","undefined","undefined","undefined",87236
"3",3,3,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","3","gambleLoss","25","1471",2763,"37","undefined","undefined","undefined",92489
"4",4,4,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","4","nonGamble","25","1120",1684,"40","undefined","undefined","undefined",96302
"5",5,5,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","5","gambleWin","25","540",1407,"39","undefined","undefined","undefined",99256
"6",6,6,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","6","nonGamble","25","753",907,"38","undefined","undefined","undefined",101926
"7",7,7,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","7","gambleWin","25","547",1289,"39","undefined","undefined","undefined",104776
"8",8,8,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","8","nonGamble","25","403",1072,"40","undefined","undefined","undefined",107269
"9",9,9,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","9","gambleWin","25","401",1190,"39","undefined","undefined","undefined",109870
"10",10,10,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","10","nonGamble","25","567",1276,"38","undefined","undefined","undefined",112722
"11",11,11,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","11","nonGamble","25","647",1240,"40","undefined","undefined","undefined",115618
"12",12,12,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","12","nonGamble","25","426",928,"38","undefined","undefined","undefined",117986
"13",13,13,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","13","gambleLoss","25","393",1273,"39","undefined","undefined","undefined",120664
"14",14,14,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","14","gambleLoss","25","307",1528,"39","undefined","undefined","undefined",123519
"15",15,15,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","15","nonGamble","25","391",1094,"38","undefined","undefined","undefined",126023
"16",16,16,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/green25.png'></img>","No music","16","gambleWin","25","550",1099,"37","undefined","undefined","undefined",128682
"17",17,17,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","17","gambleLoss","25","421",1953,"37","undefined","undefined","undefined",132077
"18",18,18,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/green25.png'></img>","No music","18","gambleLoss","25","226",1555,"39","undefined","undefined","undefined",134869
"19",19,19,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","19","gambleWin","25","288",1589,"37","undefined","undefined","undefined",137762
"20",20,20,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","20","gambleLoss","25","243",2097,"37","undefined","undefined","undefined",141110
"21",21,21,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","21","gambleWin","25","247",1493,"39","undefined","undefined","undefined",143862
"22",22,22,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","22","gambleWin","25","591",1118,"39","undefined","undefined","undefined",146582
"23",23,23,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","23","gambleLoss","25","771",1187,"39","undefined","undefined","undefined",149547
"24",24,24,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","24","nonGamble","25","252",727,"38","undefined","undefined","undefined",151534
"25",25,25,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","25","nonGamble","25","240",922,"38","undefined","undefined","undefined",153702
"26",26,26,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","26","gambleWin","25","229",1308,"37","undefined","undefined","undefined",156260
"27",27,27,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","27","gambleWin","25","315",1268,"37","undefined","undefined","undefined",158858
"28",28,28,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/green25.png'></img>","No music","28","gambleLoss","25","239",1399,"39","undefined","undefined","undefined",161514
"29",29,29,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","29","nonGamble","25","217",852,"38","undefined","undefined","undefined",163595
"30",30,30,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/green25.png'></img>","No music","30","gambleLoss","25","352",1274,"37","undefined","undefined","undefined",166234
"31",31,31,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","31","nonGamble","25","336",1072,"38","undefined","undefined","undefined",168651
"32",32,32,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","32","gambleLoss","25","368",1032,"39","undefined","undefined","undefined",171062
"33",33,33,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","33","nonGamble","25","309",1161,"40","undefined","undefined","undefined",173549
"34",34,34,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","34","gambleWin","25","529",946,"39","undefined","undefined","undefined",176038
"35",35,35,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","35","gambleWin","25","461",1360,"39","undefined","undefined","undefined",178869
"36",36,36,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","36","gambleLoss","25","234",1193,"37","undefined","undefined","undefined",181310
"37",37,37,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","37","nonGamble","25","263",1036,"40","undefined","undefined","undefined",183633
"38",38,38,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/green25.png'></img>","No music","38","gambleWin","25","578",1500,"39","undefined","undefined","undefined",186727
"39",39,39,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/green25.png'></img>","No music","39","gambleLoss","25","466",1458,"39","undefined","undefined","undefined",189657
"40",40,40,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","40","gambleWin","25","439",1684,"37","undefined","undefined","undefined",192788
"41",41,41,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/green25.png'></img>","No music","41","gambleWin","25","710",1500,"39","undefined","undefined","undefined",196009
"42",42,42,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","42","nonGamble","25","439",1056,"38","undefined","undefined","undefined",198517
"43",43,43,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","43","gambleLoss","25","571",1067,"39","undefined","undefined","undefined",201174
"44",44,44,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","44","nonGamble","25","251",922,"38","undefined","undefined","undefined",203361
"45",45,45,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/green25.png'></img>","No music","45","gambleWin","25","274",1076,"39","undefined","undefined","undefined",205723
"46",46,46,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","46","nonGamble","25","271",794,"38","undefined","undefined","undefined",207804
"47",47,47,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","47","gambleLoss","25","277",950,"37","undefined","undefined","undefined",210047
"48",48,48,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","48","gambleLoss","25","402",3098,"39","undefined","undefined","undefined",214564
"49",49,49,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","49","gambleLoss","25","498",1950,"37","undefined","undefined","undefined",218024
"50",50,50,56,19,"Non-binary","Belg","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","50","nonGamble","25","275",706,"40","undefined","undefined","undefined",220022
