"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",1,1,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","1","gambleLoss","25","1302",1355,"37","undefined","undefined","undefined",109397
"2",2,2,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","2","nonGamble","25","917",1198,"38","undefined","undefined","undefined",112519
"3",3,3,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","3","gambleWin","25","977",890,"37","undefined","undefined","undefined",115393
"4",4,4,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","4","nonGamble","25","1109",1367,"40","undefined","undefined","undefined",118874
"5",5,5,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","5","gambleWin","25","636",799,"39","undefined","undefined","undefined",121312
"6",6,6,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","6","gambleWin","25","524",711,"39","undefined","undefined","undefined",123551
"7",7,7,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","7","gambleLoss","25","742",595,"39","undefined","undefined","undefined",125896
"8",8,8,70,19,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","8","gambleWin","25","354",652,"39","undefined","undefined","undefined",127907
"9",9,9,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","9","nonGamble","25","511",619,"38","undefined","undefined","undefined",130044
"10",10,10,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","10","gambleWin","25","366",825,"37","undefined","undefined","undefined",132240
"11",11,11,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","11","gambleLoss","25","418",853,"37","undefined","undefined","undefined",134517
"12",12,12,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","12","gambleWin","25","354",436,"37","undefined","undefined","undefined",136311
"13",13,13,70,19,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","13","gambleLoss","25","575",1114,"39","undefined","undefined","undefined",139004
"14",14,14,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","14","nonGamble","25","410",830,"38","undefined","undefined","undefined",141250
"15",15,15,70,19,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","15","gambleLoss","25","325",699,"39","undefined","undefined","undefined",143281
"16",16,16,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","16","gambleWin","25","329",632,"37","undefined","undefined","undefined",145249
"17",17,17,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","17","gambleLoss","25","417",2630,"37","undefined","undefined","undefined",149301
"18",18,18,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","18","gambleWin","25","305",528,"39","undefined","undefined","undefined",151139
"19",19,19,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","19","nonGamble","25","431",1267,"38","undefined","undefined","undefined",153837
"20",20,20,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","20","gambleLoss","25","1026",483,"39","undefined","undefined","undefined",156351
"21",21,21,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","21","gambleWin","25","393",781,"39","undefined","undefined","undefined",158527
"22",22,22,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","22","gambleLoss","25","394",618,"39","undefined","undefined","undefined",160544
"23",23,23,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","23","gambleLoss","25","604",728,"39","undefined","undefined","undefined",162879
"24",24,24,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","24","nonGamble","25","336",759,"38","undefined","undefined","undefined",164978
"25",25,25,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","25","nonGamble","25","383",709,"40","undefined","undefined","undefined",167074
"26",26,26,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","26","gambleWin","25","414",709,"37","undefined","undefined","undefined",169204
"27",27,27,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","27","nonGamble","25","535",651,"38","undefined","undefined","undefined",171393
"28",28,28,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","28","nonGamble","25","1544",632,"38","undefined","undefined","undefined",174573
"29",29,29,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","29","gambleWin","25","416",853,"37","undefined","undefined","undefined",176848
"30",30,30,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","30","gambleLoss","25","570",713,"37","undefined","undefined","undefined",179134
"31",31,31,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","31","gambleWin","25","350",463,"39","undefined","undefined","undefined",180954
"32",32,32,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","32","gambleLoss","25","421",501,"39","undefined","undefined","undefined",182880
"33",33,33,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","33","nonGamble","25","295",1213,"38","undefined","undefined","undefined",185393
"34",34,34,70,19,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","34","gambleWin","25","1072",606,"37","undefined","undefined","undefined",188073
"35",35,35,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","35","gambleLoss","25","625",1049,"39","undefined","undefined","undefined",190751
"36",36,36,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","36","nonGamble","25","410",902,"38","undefined","undefined","undefined",193067
"37",37,37,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","37","nonGamble","25","359",1242,"38","undefined","undefined","undefined",195671
"38",38,38,70,19,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","38","gambleWin","25","700",513,"37","undefined","undefined","undefined",197885
"39",39,39,70,19,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","39","gambleWin","25","799",628,"37","undefined","undefined","undefined",200319
"40",40,40,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","40","gambleWin","25","450",859,"39","undefined","undefined","undefined",202632
"41",41,41,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","41","gambleWin","25","471",589,"39","undefined","undefined","undefined",204696
"42",42,42,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","42","nonGamble","25","405",674,"38","undefined","undefined","undefined",206781
"43",43,43,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","43","nonGamble","25","458",1184,"38","undefined","undefined","undefined",209429
"44",44,44,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","44","gambleLoss","25","499",787,"37","undefined","undefined","undefined",211718
"45",45,45,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","45","nonGamble","25","369",710,"38","undefined","undefined","undefined",213803
"46",46,46,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","46","gambleLoss","25","509",774,"39","undefined","undefined","undefined",216090
"47",47,47,70,19,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","47","gambleLoss","25","373",736,"39","undefined","undefined","undefined",218203
"48",48,48,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","48","gambleLoss","25","344",573,"37","undefined","undefined","undefined",220126
"49",49,49,70,19,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","49","gambleWin","25","235",743,"37","undefined","undefined","undefined",222110
"50",50,50,70,19,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","50","gambleLoss","25","335",495,"37","undefined","undefined","undefined",223942
"51",51,51,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","51","nonGamble","25","278",1153,"38","undefined","undefined","undefined",226377
"52",52,52,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","52","nonGamble","25","1048",837,"40","undefined","undefined","undefined",229266
"53",53,53,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","53","gambleWin","25","508",1100,"37","undefined","undefined","undefined",231877
"54",54,54,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","54","nonGamble","25","438",767,"38","undefined","undefined","undefined",234086
"55",55,55,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","55","nonGamble","25","2334",1328,"40","undefined","undefined","undefined",238753
"56",56,56,70,19,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","56","gambleLoss","25","371",614,"39","undefined","undefined","undefined",240744
"57",57,57,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","57","gambleLoss","25","513",871,"39","undefined","undefined","undefined",243132
"58",58,58,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","58","nonGamble","25","647",2587,"38","undefined","undefined","undefined",247368
"59",59,59,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","59","gambleLoss","25","532",1241,"37","undefined","undefined","undefined",250147
"60",60,60,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","60","gambleWin","25","392",769,"39","undefined","undefined","undefined",252311
"61",61,61,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","Positive valence","61","gambleLoss","25","2445",681,"39","undefined","undefined","undefined",284530
"62",62,62,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","Positive valence","62","nonGamble","25","442",2438,"38","undefined","undefined","undefined",288414
"63",63,63,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","Positive valence","63","gambleWin","25","668",595,"37","undefined","undefined","undefined",290685
"64",64,64,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","Positive valence","64","nonGamble","25","780",616,"40","undefined","undefined","undefined",293089
"65",65,65,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","Positive valence","65","gambleWin","25","357",675,"39","undefined","undefined","undefined",295124
"66",66,66,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","Positive valence","66","gambleWin","25","380",1215,"39","undefined","undefined","undefined",297723
"67",67,67,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","Positive valence","67","gambleLoss","25","496",584,"39","undefined","undefined","undefined",299807
"68",68,68,70,19,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","Positive valence","68","gambleWin","25","427",893,"39","undefined","undefined","undefined",302132
"69",69,69,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","Positive valence","69","nonGamble","25","395",2912,"38","undefined","undefined","undefined",306444
"70",70,70,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","Positive valence","70","gambleWin","25","425",763,"37","undefined","undefined","undefined",308640
"71",71,71,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","Positive valence","71","gambleLoss","25","501",414,"39","undefined","undefined","undefined",310559
"72",72,72,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","Positive valence","72","gambleWin","25","374",485,"37","undefined","undefined","undefined",312421
"73",73,73,70,19,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","Positive valence","73","gambleLoss","25","685",848,"39","undefined","undefined","undefined",314959
"74",74,74,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","Positive valence","74","nonGamble","25","370",835,"38","undefined","undefined","undefined",317166
"75",75,75,70,19,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","Positive valence","75","gambleLoss","25","525",573,"37","undefined","undefined","undefined",319270
"76",76,76,70,19,"Female","Belgian","Happy","<img src='images/green25.png'></img>","Positive valence","76","gambleWin","25","346",467,"39","undefined","undefined","undefined",321089
"77",77,77,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","Positive valence","77","gambleLoss","25","642",514,"39","undefined","undefined","undefined",323249
"78",78,78,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","Positive valence","78","gambleWin","25","353",508,"37","undefined","undefined","undefined",325111
"79",79,79,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","Positive valence","79","nonGamble","25","542",1824,"38","undefined","undefined","undefined",328482
"80",80,80,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","Positive valence","80","gambleLoss","25","375",589,"37","undefined","undefined","undefined",330452
"81",81,81,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","Positive valence","81","gambleWin","25","1665",456,"39","undefined","undefined","undefined",333577
"82",82,82,70,19,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","Positive valence","82","gambleLoss","25","1267",541,"39","undefined","undefined","undefined",336389
"83",83,83,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","Positive valence","83","gambleLoss","25","680",537,"39","undefined","undefined","undefined",338608
"84",84,84,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","Positive valence","84","nonGamble","25","407",671,"38","undefined","undefined","undefined",340690
"85",85,85,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","Positive valence","85","nonGamble","25","674",754,"38","undefined","undefined","undefined",343124
"86",86,86,70,19,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","Positive valence","86","gambleWin","25","931",473,"37","undefined","undefined","undefined",345534
"87",87,87,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","Positive valence","87","nonGamble","25","541",913,"38","undefined","undefined","undefined",347996
"88",88,88,70,19,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","Positive valence","88","nonGamble","25","496",745,"38","undefined","undefined","undefined",350244
