"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",1,1,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","1","gambleLoss","25","886",692,"37","undefined","undefined","undefined",83649
"2",2,2,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","2","nonGamble","25","1273",1185,"38","undefined","undefined","undefined",87118
"3",3,3,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","3","nonGamble","25","1066",595,"40","undefined","undefined","undefined",89786
"4",4,4,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","4","nonGamble","25","1567",492,"38","undefined","undefined","undefined",92853
"5",5,5,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","5","gambleWin","25","1338",795,"39","undefined","undefined","undefined",95997
"6",6,6,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","6","nonGamble","25","377",748,"38","undefined","undefined","undefined",98130
"7",7,7,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","7","gambleLoss","25","441",1269,"37","undefined","undefined","undefined",100851
"8",8,8,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","8","nonGamble","25","318",836,"40","undefined","undefined","undefined",103010
"9",9,9,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","9","gambleLoss","25","534",627,"39","undefined","undefined","undefined",105178
"10",10,10,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","10","nonGamble","25","423",764,"40","undefined","undefined","undefined",107375
"11",11,11,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","11","gambleWin","25","2887",757,"37","undefined","undefined","undefined",112029
"12",12,12,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","12","gambleLoss","25","304",623,"37","undefined","undefined","undefined",113962
"13",13,13,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","13","gambleLoss","25","296",660,"39","undefined","undefined","undefined",115928
"14",14,14,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","14","gambleWin","25","284",529,"39","undefined","undefined","undefined",117746
"15",15,15,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","15","gambleLoss","25","358",539,"37","undefined","undefined","undefined",119653
"16",16,16,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","16","nonGamble","25","1127",753,"38","undefined","undefined","undefined",122543
"17",17,17,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","17","gambleWin","25","696",577,"39","undefined","undefined","undefined",124826
"18",18,18,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","18","gambleLoss","25","416",485,"37","undefined","undefined","undefined",126732
"19",19,19,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","19","nonGamble","25","405",716,"38","undefined","undefined","undefined",128862
"20",20,20,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","20","gambleLoss","25","373",591,"39","undefined","undefined","undefined",130836
"21",21,21,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","21","nonGamble","25","308",622,"38","undefined","undefined","undefined",132777
"22",22,22,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","22","gambleLoss","25","300",470,"39","undefined","undefined","undefined",134551
"23",23,23,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","23","gambleWin","25","360",463,"37","undefined","undefined","undefined",136380
"24",24,24,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","24","gambleLoss","25","510",742,"37","undefined","undefined","undefined",138642
"25",25,25,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","25","nonGamble","25","371",899,"40","undefined","undefined","undefined",140922
"26",26,26,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","26","nonGamble","25","2120",639,"38","undefined","undefined","undefined",144691
"27",27,27,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","27","gambleWin","25","366",345,"39","undefined","undefined","undefined",146413
"28",28,28,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","28","gambleWin","25","1329",644,"37","undefined","undefined","undefined",149396
"29",29,29,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","29","gambleLoss","25","416",479,"37","undefined","undefined","undefined",151301
"30",30,30,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","30","gambleLoss","25","274",343,"39","undefined","undefined","undefined",152925
"31",31,31,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","31","gambleWin","25","284",404,"37","undefined","undefined","undefined",154625
"32",32,32,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","32","gambleWin","25","706",573,"37","undefined","undefined","undefined",156914
"33",33,33,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","33","gambleLoss","25","389",439,"37","undefined","undefined","undefined",158752
"34",34,34,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","34","nonGamble","25","550",651,"38","undefined","undefined","undefined",160964
"35",35,35,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","35","nonGamble","25","571",643,"40","undefined","undefined","undefined",163185
"36",36,36,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","36","gambleWin","25","405",629,"39","undefined","undefined","undefined",165224
"37",37,37,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","37","gambleWin","25","362",633,"39","undefined","undefined","undefined",167229
"38",38,38,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","38","nonGamble","25","314",884,"38","undefined","undefined","undefined",169436
"39",39,39,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","39","gambleLoss","25","302",513,"39","undefined","undefined","undefined",171255
"40",40,40,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","40","nonGamble","25","323",851,"38","undefined","undefined","undefined",173434
"41",41,41,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","41","nonGamble","25","313",936,"40","undefined","undefined","undefined",175691
"42",42,42,58,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","42","nonGamble","25","659",609,"38","undefined","undefined","undefined",177970
