"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",2,2,6,19,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","1","nonGamble","25","3082",932,"38","undefined","undefined","undefined",154105
"2",3,3,6,19,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","2","nonGamble","25","9",733,"40","undefined","undefined","undefined",155856
"3",4,4,6,19,"Female","Belg","Somewhat happy","<img src='images/orange25.png'></img>","No music","3","gambleWin","25","2062",958,"37","undefined","undefined","undefined",159885
"4",5,5,6,19,"Female","Belg","Somewhat happy","<img src='images/orange25.png'></img>","No music","4","gambleLoss","25","126",1126,"39","undefined","undefined","undefined",162148
"5",6,6,6,19,"Female","Belg","Somewhat happy","<img src='images/blue25.png'></img>","No music","5","gambleLoss","25","566",995,"37","undefined","undefined","undefined",164719
"6",7,7,6,19,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","6","nonGamble","25","782",712,"38","undefined","undefined","undefined",167224
"7",8,8,6,19,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","7","nonGamble","25","571",990,"40","undefined","undefined","undefined",169799
"8",9,9,6,19,"Female","Belg","Somewhat happy","<img src='images/orange25.png'></img>","No music","8","gambleLoss","25","398",828,"37","undefined","undefined","undefined",172033
"9",10,10,6,19,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","9","nonGamble","25","1429",748,"38","undefined","undefined","undefined",175223
"10",11,11,6,19,"Female","Belg","Somewhat happy","<img src='images/blue25.png'></img>","No music","10","gambleLoss","25","561",697,"37","undefined","undefined","undefined",177491
"11",12,12,6,19,"Female","Belg","Somewhat happy","<img src='images/yellow25.png'></img>","No music","11","gambleWin","25","513",687,"37","undefined","undefined","undefined",179704
"12",13,13,6,19,"Female","Belg","Somewhat happy","<img src='images/green25.png'></img>","No music","12","gambleWin","25","586",571,"39","undefined","undefined","undefined",181868
"13",14,14,6,19,"Female","Belg","Somewhat happy","<img src='images/orange25.png'></img>","No music","13","gambleWin","25","508",618,"37","undefined","undefined","undefined",184011
"14",15,15,6,19,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","14","nonGamble","25","424",528,"38","undefined","undefined","undefined",185977
"15",16,16,6,19,"Female","Belg","Somewhat happy","<img src='images/green25.png'></img>","No music","15","gambleWin","25","439",532,"37","undefined","undefined","undefined",187954
"16",17,17,6,19,"Female","Belg","Somewhat happy","<img src='images/orange25.png'></img>","No music","16","gambleLoss","25","355",573,"37","undefined","undefined","undefined",189890
"17",18,18,6,19,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","17","nonGamble","25","362",572,"38","undefined","undefined","undefined",191832
"18",19,19,6,19,"Female","Belg","Somewhat happy","<img src='images/blue25.png'></img>","No music","18","gambleWin","25","593",517,"37","undefined","undefined","undefined",193950
"19",20,20,6,19,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","19","nonGamble","25","396",528,"38","undefined","undefined","undefined",195877
"20",21,21,6,19,"Female","Belg","Somewhat happy","<img src='images/yellow25.png'></img>","No music","20","gambleLoss","25","926",593,"37","undefined","undefined","undefined",198407
"21",22,22,6,19,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","21","nonGamble","25","1985",547,"38","undefined","undefined","undefined",201943
"22",23,23,6,19,"Female","Belg","Somewhat happy","<img src='images/blue25.png'></img>","No music","22","gambleWin","25","552",608,"37","undefined","undefined","undefined",204116
"23",24,24,6,19,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","23","nonGamble","25","438",4044,"38","undefined","undefined","undefined",209604
"24",25,25,6,19,"Female","Belg","Somewhat happy","<img src='images/orange25.png'></img>","No music","24","gambleWin","25","643",492,"37","undefined","undefined","undefined",211747
"25",26,26,6,19,"Female","Belg","Somewhat happy","<img src='images/yellow25.png'></img>","No music","25","gambleWin","25","1883",496,"37","undefined","undefined","undefined",215132
"26",27,27,6,19,"Female","Belg","Somewhat happy","<img src='images/yellow25.png'></img>","No music","26","gambleLoss","25","1227",421,"37","undefined","undefined","undefined",217784
"27",28,28,6,19,"Female","Belg","Somewhat happy","<img src='images/green25.png'></img>","No music","27","gambleWin","25","1185",542,"37","undefined","undefined","undefined",220520
"28",29,29,6,19,"Female","Belg","Somewhat happy","<img src='images/green25.png'></img>","No music","28","gambleLoss","25","858",498,"37","undefined","undefined","undefined",222881
"29",30,30,6,19,"Female","Belg","Somewhat happy","<img src='images/green25.png'></img>","No music","29","gambleLoss","25","457",677,"37","undefined","undefined","undefined",225022
