"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",1,1,80,19,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","1","gambleWin","25","1368",1350,"39","undefined","undefined","undefined",110734
"2",2,2,80,19,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","2","nonGamble","25","1108",4714,"38","undefined","undefined","undefined",117565
"3",3,3,80,19,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","3","nonGamble","25","924",1098,"38","undefined","undefined","undefined",120595
"4",4,4,80,19,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","4","gambleWin","25","730",1216,"39","undefined","undefined","undefined",123549
"5",5,5,80,19,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","5","gambleLoss","25","791",902,"39","undefined","undefined","undefined",126250
"6",6,6,80,19,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","6","nonGamble","25","817",901,"38","undefined","undefined","undefined",128977
"7",7,7,80,19,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","7","gambleWin","25","1018",561,"39","undefined","undefined","undefined",131565
"8",8,8,80,19,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","8","gambleLoss","25","1264",766,"39","undefined","undefined","undefined",134602
"9",9,9,80,19,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","9","gambleWin","25","735",787,"39","undefined","undefined","undefined",137136
"10",10,10,80,19,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","10","nonGamble","25","743",816,"38","undefined","undefined","undefined",139705
"11",11,11,80,19,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","11","nonGamble","25","485",743,"38","undefined","undefined","undefined",141939
