"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",2,2,2,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","1","gambleLoss","25","1645",1241,"39","undefined","undefined","undefined",247477
"2",3,3,2,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","2","gambleLoss","25","2289",1310,"39","undefined","undefined","undefined",252084
"3",4,4,2,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","3","nonGamble","25","515",1267,"38","undefined","undefined","undefined",254873
"4",5,5,2,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","4","nonGamble","25","1202",1395,"40","undefined","undefined","undefined",258476
"5",6,6,2,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","5","nonGamble","25","701",996,"38","undefined","undefined","undefined",261179
"6",7,7,2,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","6","gambleLoss","25","751",1280,"37","undefined","undefined","undefined",264216
"7",8,8,2,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","7","gambleWin","25","1292",1061,"37","undefined","undefined","undefined",267575
"8",9,9,2,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","8","nonGamble","25","1027",1099,"38","undefined","undefined","undefined",270706
"9",10,10,2,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","9","gambleWin","25","511",1017,"37","undefined","undefined","undefined",273240
"10",11,11,2,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","10","gambleWin","25","1156",630,"39","undefined","undefined","undefined",276032
"11",12,12,2,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","11","gambleLoss","25","515",1316,"37","undefined","undefined","undefined",278869
"12",13,13,2,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","12","gambleWin","25","481",906,"37","undefined","undefined","undefined",281262
"13",14,14,2,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","13","gambleLoss","25","484",1799,"39","undefined","undefined","undefined",284551
"14",15,15,2,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","14","gambleLoss","25","298",580,"39","undefined","undefined","undefined",286436
"15",16,16,2,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","15","gambleWin","25","152",555,"39","undefined","undefined","undefined",288148
"16",17,17,2,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","16","nonGamble","25","319",630,"38","undefined","undefined","undefined",290104
"17",18,18,2,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","17","gambleWin","25","318",647,"39","undefined","undefined","undefined",292074
"18",19,19,2,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","18","gambleWin","25","1226",642,"37","undefined","undefined","undefined",294947
"19",20,20,2,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","19","gambleWin","25","281",609,"37","undefined","undefined","undefined",296844
"20",21,21,2,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","20","nonGamble","25","304",1625,"40","undefined","undefined","undefined",299779
"21",22,22,2,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","21","gambleLoss","25","1187",633,"39","undefined","undefined","undefined",302608
"22",23,23,2,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","22","gambleWin","25","295",505,"39","undefined","undefined","undefined",304414
"23",24,24,2,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","23","nonGamble","25","227",781,"38","undefined","undefined","undefined",306427
"24",25,25,2,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","24","nonGamble","25","470",3160,"38","undefined","undefined","undefined",311063
"25",26,26,2,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","25","nonGamble","25","1408",1140,"40","undefined","undefined","undefined",314617
"26",27,27,2,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","26","gambleWin","25","1174",2178,"37","undefined","undefined","undefined",318974
