"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",1,1,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","No music","1","gambleWin","25","2297",884,"39","undefined","undefined","undefined",258788
"2",2,2,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","2","nonGamble","25","1201",784,"38","undefined","undefined","undefined",261776
"3",3,3,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","3","nonGamble","25","608",628,"38","undefined","undefined","undefined",264015
"4",4,4,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","No music","4","gambleLoss","25","521",584,"39","undefined","undefined","undefined",266123
"5",5,5,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","No music","5","gambleLoss","25","541",658,"37","undefined","undefined","undefined",268325
"6",6,6,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","6","nonGamble","25","1415",577,"38","undefined","undefined","undefined",271321
"7",7,7,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","No music","7","gambleWin","25","510",719,"37","undefined","undefined","undefined",273553
"8",8,8,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","8","nonGamble","25","1163",561,"38","undefined","undefined","undefined",276281
"9",9,9,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","9","nonGamble","25","565",598,"38","undefined","undefined","undefined",278447
"10",10,10,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","No music","10","gambleLoss","25","94",904,"39","undefined","undefined","undefined",280448
"11",11,11,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","11","nonGamble","25","1335",605,"38","undefined","undefined","undefined",283389
"12",12,12,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","12","nonGamble","25","508",590,"40","undefined","undefined","undefined",285490
"13",13,13,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","No music","13","gambleLoss","25","576",707,"39","undefined","undefined","undefined",287777
"14",14,14,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","No music","14","gambleLoss","25","777",524,"37","undefined","undefined","undefined",290081
"15",15,15,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","No music","15","gambleWin","25","671",507,"39","undefined","undefined","undefined",292261
"16",16,16,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","No music","16","gambleLoss","25","574",574,"39","undefined","undefined","undefined",294413
"17",17,17,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","No music","17","gambleWin","25","1170",539,"39","undefined","undefined","undefined",297126
"18",18,18,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","18","nonGamble","25","412",568,"38","undefined","undefined","undefined",299108
"19",19,19,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","No music","19","gambleLoss","25","485",587,"37","undefined","undefined","undefined",301183
"20",20,20,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","No music","20","gambleLoss","25","367",563,"37","undefined","undefined","undefined",303116
"21",21,21,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","No music","21","gambleWin","25","1163",491,"39","undefined","undefined","undefined",305774
"22",22,22,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","22","nonGamble","25","742",565,"38","undefined","undefined","undefined",308082
"23",23,23,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","No music","23","gambleLoss","25","431",523,"37","undefined","undefined","undefined",310039
"24",24,24,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","No music","24","gambleWin","25","584",447,"39","undefined","undefined","undefined",312073
"25",25,25,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","No music","25","gambleWin","25","484",508,"39","undefined","undefined","undefined",314069
"26",26,26,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","No music","26","gambleWin","25","392",478,"39","undefined","undefined","undefined",315941
"27",27,27,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","No music","27","gambleWin","25","344",522,"39","undefined","undefined","undefined",317825
"28",28,28,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","No music","28","gambleLoss","25","432",875,"39","undefined","undefined","undefined",320135
"29",29,29,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","No music","29","gambleWin","25","84",699,"37","undefined","undefined","undefined",321921
"30",30,30,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","30","nonGamble","25","581",562,"38","undefined","undefined","undefined",324066
"31",31,31,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","31","nonGamble","25","360",488,"38","undefined","undefined","undefined",325917
"32",32,32,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","No music","32","gambleLoss","25","423",499,"37","undefined","undefined","undefined",327842
"33",33,33,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","No music","33","gambleWin","25","336",491,"39","undefined","undefined","undefined",329672
"34",34,34,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","No music","34","gambleWin","25","445",1408,"37","undefined","undefined","undefined",332528
"35",35,35,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","No music","35","gambleWin","25","892",667,"37","undefined","undefined","undefined",335090
"36",36,36,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","No music","36","gambleLoss","25","602",436,"39","undefined","undefined","undefined",337131
"37",37,37,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","No music","37","gambleLoss","25","1373",522,"37","undefined","undefined","undefined",340029
"38",38,38,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","No music","38","gambleLoss","25","811",568,"37","undefined","undefined","undefined",342411
"39",39,39,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","No music","39","gambleLoss","25","97",591,"37","undefined","undefined","undefined",344103
"40",40,40,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","40","nonGamble","25","416",1264,"38","undefined","undefined","undefined",346785
"41",41,41,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","41","nonGamble","25","628",613,"38","undefined","undefined","undefined",349028
"42",42,42,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","42","nonGamble","25","341",508,"38","undefined","undefined","undefined",350879
"43",43,43,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","No music","43","gambleWin","25","322",672,"37","undefined","undefined","undefined",352876
"44",44,44,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","44","nonGamble","25","349",1028,"38","undefined","undefined","undefined",355255
"45",45,45,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","45","nonGamble","25","501",938,"38","undefined","undefined","undefined",357697
"46",46,46,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","No music","46","gambleLoss","25","357",565,"37","undefined","undefined","undefined",359621
"47",47,47,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","47","nonGamble","25","384",879,"38","undefined","undefined","undefined",361886
"48",48,48,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","48","nonGamble","25","303",488,"38","undefined","undefined","undefined",363681
"49",49,49,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","49","nonGamble","25","561",1616,"38","undefined","undefined","undefined",366860
"50",50,50,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","No music","50","gambleWin","25","439",534,"39","undefined","undefined","undefined",368836
"51",51,51,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","No music","51","gambleWin","25","332",469,"39","undefined","undefined","undefined",370651
"52",52,52,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","No music","52","gambleLoss","25","368",521,"39","undefined","undefined","undefined",372544
"53",53,53,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","No music","53","gambleWin","25","352",995,"37","undefined","undefined","undefined",374894
"54",54,54,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","No music","54","gambleLoss","25","452",564,"37","undefined","undefined","undefined",376913
"55",55,55,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","No music","55","gambleLoss","25","801",543,"39","undefined","undefined","undefined",379261
"56",56,56,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","No music","56","gambleWin","25","348",503,"39","undefined","undefined","undefined",381115
"57",57,57,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","No music","57","gambleWin","25","323",467,"39","undefined","undefined","undefined",382908
"58",58,58,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","No music","58","nonGamble","25","387",993,"38","undefined","undefined","undefined",385291
"59",59,59,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","No music","59","gambleLoss","25","601",431,"39","undefined","undefined","undefined",387326
"60",60,60,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","No music","60","gambleWin","25","300",589,"37","undefined","undefined","undefined",389218
"61",61,61,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Positive valence","61","gambleWin","25","2149",655,"39","undefined","undefined","undefined",413371
"62",62,62,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","62","nonGamble","25","623",536,"38","undefined","undefined","undefined",415542
"63",63,63,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","63","nonGamble","25","310",662,"38","undefined","undefined","undefined",417526
"64",64,64,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Positive valence","64","gambleLoss","25","340",442,"37","undefined","undefined","undefined",419313
"65",65,65,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Positive valence","65","gambleLoss","25","464",716,"39","undefined","undefined","undefined",421498
"66",66,66,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","66","nonGamble","25","528",520,"38","undefined","undefined","undefined",423556
"67",67,67,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","Positive valence","67","gambleWin","25","137",528,"37","undefined","undefined","undefined",425235
"68",68,68,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","68","nonGamble","25","626",459,"38","undefined","undefined","undefined",427331
"69",69,69,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","69","nonGamble","25","428",533,"38","undefined","undefined","undefined",429303
"70",70,70,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","Positive valence","70","gambleLoss","25","408",520,"37","undefined","undefined","undefined",431240
"71",71,71,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","71","nonGamble","25","754",527,"38","undefined","undefined","undefined",433525
"72",72,72,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","72","nonGamble","25","400",596,"40","undefined","undefined","undefined",435525
"73",73,73,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","Positive valence","73","gambleLoss","25","366",442,"39","undefined","undefined","undefined",437337
"74",74,74,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Positive valence","74","gambleLoss","25","300",487,"39","undefined","undefined","undefined",439128
"75",75,75,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","Positive valence","75","gambleWin","25","341",682,"39","undefined","undefined","undefined",441154
"76",76,76,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","Positive valence","76","gambleLoss","25","497",423,"39","undefined","undefined","undefined",443077
"77",77,77,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Positive valence","77","gambleWin","25","510",585,"37","undefined","undefined","undefined",445189
"78",78,78,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","78","nonGamble","25","438",1221,"38","undefined","undefined","undefined",447852
"79",79,79,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Positive valence","79","gambleLoss","25","532",530,"39","undefined","undefined","undefined",449930
"80",80,80,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Positive valence","80","gambleLoss","25","431",450,"39","undefined","undefined","undefined",451813
"81",81,81,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Positive valence","81","gambleWin","25","297",347,"39","undefined","undefined","undefined",453460
"82",82,82,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","82","nonGamble","25","210",803,"38","undefined","undefined","undefined",455478
"83",83,83,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","Positive valence","83","gambleLoss","25","314",349,"39","undefined","undefined","undefined",457144
"84",84,84,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Positive valence","84","gambleWin","25","382",414,"37","undefined","undefined","undefined",458944
"85",85,85,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","Positive valence","85","gambleWin","25","363",533,"37","undefined","undefined","undefined",460844
"86",86,86,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","Positive valence","86","gambleWin","25","288",490,"39","undefined","undefined","undefined",462631
"87",87,87,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Positive valence","87","gambleWin","25","361",801,"39","undefined","undefined","undefined",464796
"88",88,88,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Positive valence","88","gambleLoss","25","344",486,"39","undefined","undefined","undefined",466629
"89",89,89,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Positive valence","89","gambleWin","25","277",437,"37","undefined","undefined","undefined",468345
"90",90,90,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","90","nonGamble","25","273",765,"38","undefined","undefined","undefined",470387
"91",91,91,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","91","nonGamble","25","454",929,"38","undefined","undefined","undefined",472773
"92",92,92,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Positive valence","92","gambleLoss","25","291",425,"39","undefined","undefined","undefined",474492
"93",93,93,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","Positive valence","93","gambleWin","25","269",573,"39","undefined","undefined","undefined",476337
"94",94,94,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","Positive valence","94","gambleWin","25","345",501,"37","undefined","undefined","undefined",478187
"95",95,95,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","Positive valence","95","gambleWin","25","599",1105,"39","undefined","undefined","undefined",480895
"96",96,96,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Positive valence","96","gambleLoss","25","349",634,"39","undefined","undefined","undefined",482881
"97",97,97,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","Positive valence","97","gambleLoss","25","269",481,"39","undefined","undefined","undefined",484634
"98",98,98,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","Positive valence","98","gambleLoss","25","320",432,"37","undefined","undefined","undefined",486388
"99",99,99,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","Positive valence","99","gambleLoss","25","402",633,"39","undefined","undefined","undefined",488426
"100",100,100,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","100","nonGamble","25","317",613,"38","undefined","undefined","undefined",490359
"101",101,101,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","101","nonGamble","25","314",690,"38","undefined","undefined","undefined",492367
"102",102,102,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","102","nonGamble","25","311",727,"38","undefined","undefined","undefined",494408
"103",103,103,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Positive valence","103","gambleWin","25","250",804,"39","undefined","undefined","undefined",496474
"104",104,104,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","104","nonGamble","25","255",627,"38","undefined","undefined","undefined",498360
"105",105,105,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","105","nonGamble","25","211",617,"38","undefined","undefined","undefined",500191
"106",106,106,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","Positive valence","106","gambleLoss","25","107",667,"39","undefined","undefined","undefined",501975
"107",107,107,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","107","nonGamble","25","525",590,"38","undefined","undefined","undefined",504094
"108",108,108,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","108","nonGamble","25","318",551,"38","undefined","undefined","undefined",505966
"109",109,109,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","109","nonGamble","25","271",511,"38","undefined","undefined","undefined",507751
"110",110,110,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Positive valence","110","gambleWin","25","265",700,"39","undefined","undefined","undefined",509718
"111",111,111,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","Positive valence","111","gambleWin","25","283",521,"39","undefined","undefined","undefined",511526
"112",112,112,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Positive valence","112","gambleLoss","25","494",633,"37","undefined","undefined","undefined",513658
"113",113,113,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","Positive valence","113","gambleWin","25","460",592,"37","undefined","undefined","undefined",515713
"114",114,114,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Positive valence","114","gambleLoss","25","406",462,"39","undefined","undefined","undefined",517584
"115",115,115,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","Positive valence","115","gambleLoss","25","321",401,"39","undefined","undefined","undefined",519309
"116",116,116,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Positive valence","116","gambleWin","25","310",506,"39","undefined","undefined","undefined",521129
"117",117,117,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","Positive valence","117","gambleWin","25","305",436,"39","undefined","undefined","undefined",522873
"118",118,118,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","118","nonGamble","25","259",519,"38","undefined","undefined","undefined",524654
"119",119,119,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","Positive valence","119","gambleLoss","25","369",413,"39","undefined","undefined","undefined",526439
"120",120,120,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Positive valence","120","gambleWin","25","113",532,"39","undefined","undefined","undefined",528087
"121",121,121,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Negative valence","121","gambleWin","25","2315",594,"39","undefined","undefined","undefined",550876
"122",122,122,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Negative valence","122","nonGamble","25","433",661,"38","undefined","undefined","undefined",552987
"123",123,123,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Negative valence","123","nonGamble","25","361",988,"40","undefined","undefined","undefined",555355
"124",124,124,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Negative valence","124","gambleLoss","25","451",527,"39","undefined","undefined","undefined",557340
"125",125,125,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Negative valence","125","gambleLoss","25","347",481,"39","undefined","undefined","undefined",559175
"126",126,126,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Negative valence","126","nonGamble","25","294",1253,"38","undefined","undefined","undefined",561725
"127",127,127,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","Negative valence","127","gambleWin","25","570",521,"39","undefined","undefined","undefined",563823
"128",128,128,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Negative valence","128","nonGamble","25","447",526,"38","undefined","undefined","undefined",565801
"129",129,129,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Negative valence","129","nonGamble","25","240",451,"38","undefined","undefined","undefined",567504
"130",130,130,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/yellow25.png'></img>","Negative valence","130","gambleLoss","25","303",468,"39","undefined","undefined","undefined",569286
"131",131,131,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Negative valence","131","nonGamble","25","260",418,"38","undefined","undefined","undefined",570981
"132",132,132,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Negative valence","132","nonGamble","25","222",633,"38","undefined","undefined","undefined",572839
"133",133,133,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","Negative valence","133","gambleLoss","25","240",733,"39","undefined","undefined","undefined",574821
"134",134,134,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Negative valence","134","gambleLoss","25","376",418,"39","undefined","undefined","undefined",576616
"135",135,135,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","Negative valence","135","gambleWin","25","302",394,"39","undefined","undefined","undefined",578316
"136",136,136,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/orange25.png'></img>","Negative valence","136","gambleLoss","25","278",364,"39","undefined","undefined","undefined",579962
"137",137,137,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Negative valence","137","gambleWin","25","208",377,"39","undefined","undefined","undefined",581550
"138",138,138,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/purple0.png'></img>","Negative valence","138","nonGamble","25","188",544,"38","undefined","undefined","undefined",583295
"139",139,139,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Negative valence","139","gambleLoss","25","173",406,"39","undefined","undefined","undefined",584878
"140",140,140,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/blue25.png'></img>","Negative valence","140","gambleLoss","25","255",413,"39","undefined","undefined","undefined",586550
"141",141,141,96,18,"Female"," Belgian nationality","Somewhat happy","<img src='images/green25.png'></img>","Negative valence","141","gambleWin","25","164",440,"39","undefined","undefined","undefined",588156
