"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",2,2,46,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","1","gambleLoss","25","1587",5046,"37","undefined","undefined","undefined",180202
"2",3,3,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","2","nonGamble","25","1377",2366,"38","undefined","undefined","undefined",184954
"3",4,4,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","3","nonGamble","25","2510",1238,"40","undefined","undefined","undefined",189705
"4",5,5,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","4","gambleLoss","25","2690",2311,"37","undefined","undefined","undefined",195713
"5",6,6,46,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","5","gambleLoss","25","3424",2738,"39","undefined","undefined","undefined",202884
"6",7,7,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","6","gambleLoss","25","419",908,"37","undefined","undefined","undefined",205217
"7",8,8,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","7","nonGamble","25","444",1191,"38","undefined","undefined","undefined",207857
"8",9,9,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","8","nonGamble","25","74",752,"40","undefined","undefined","undefined",209689
"9",10,10,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","9","gambleWin","25","442",1335,"37","undefined","undefined","undefined",212473
"10",11,11,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","10","gambleWin","25","30",1412,"37","undefined","undefined","undefined",214921
"11",12,12,46,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","11","gambleLoss","25","643",1142,"39","undefined","undefined","undefined",217712
"12",13,13,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","12","nonGamble","25","522",2623,"40","undefined","undefined","undefined",221865
"13",14,14,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","13","gambleWin","25","419",1151,"39","undefined","undefined","undefined",224440
"14",15,15,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","14","gambleLoss","25","481",834,"39","undefined","undefined","undefined",226763
"15",16,16,46,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","15","gambleLoss","25","299",708,"39","undefined","undefined","undefined",228776
"16",17,17,46,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","16","gambleLoss","25","282",591,"37","undefined","undefined","undefined",230656
"17",18,18,46,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","17","gambleLoss","25","193",833,"37","undefined","undefined","undefined",232690
"18",19,19,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","18","nonGamble","25","348",1548,"40","undefined","undefined","undefined",235592
"19",20,20,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","19","gambleLoss","25","315",4663,"39","undefined","undefined","undefined",241576
"20",21,21,46,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","20","gambleLoss","25","2433",5721,"37","undefined","undefined","undefined",250739
"21",22,22,46,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","21","gambleWin","25","849",7998,"37","undefined","undefined","undefined",260593
"22",23,23,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","22","nonGamble","25","2368",16906,"40","undefined","undefined","undefined",280875
"23",24,24,46,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","23","gambleWin","25","1971",4647,"37","undefined","undefined","undefined",288498
"24",25,25,46,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","24","gambleWin","25","957",2948,"37","undefined","undefined","undefined",293410
"25",26,26,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","25","nonGamble","25","373",4437,"40","undefined","undefined","undefined",299224
"26",27,27,46,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","26","gambleWin","25","706",4455,"37","undefined","undefined","undefined",305392
"27",28,28,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","27","nonGamble","25","483",1309,"40","undefined","undefined","undefined",308192
"28",29,29,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","28","nonGamble","25","393",1177,"40","undefined","undefined","undefined",310770
"29",30,30,46,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","29","gambleWin","25","267",1349,"39","undefined","undefined","undefined",313392
"30",31,31,46,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","30","gambleWin","25","361",626,"39","undefined","undefined","undefined",315386
"31",32,32,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","31","nonGamble","25","347",1221,"40","undefined","undefined","undefined",317960
"32",33,33,46,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","32","gambleLoss","25","712",1503,"39","undefined","undefined","undefined",321183
"33",34,34,46,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","33","gambleWin","25","401",785,"39","undefined","undefined","undefined",323378
"34",35,35,46,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","34","gambleLoss","25","9",1077,"37","undefined","undefined","undefined",325471
"35",36,36,46,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","35","gambleWin","25","403",823,"39","undefined","undefined","undefined",327703
"36",37,37,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","36","nonGamble","25","499",1095,"40","undefined","undefined","undefined",330303
"37",38,38,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","37","nonGamble","25","428",4565,"38","undefined","undefined","undefined",336301
"38",39,39,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","38","gambleWin","25","907",4791,"39","undefined","undefined","undefined",343006
"39",40,40,46,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","39","gambleLoss","25","635",871,"37","undefined","undefined","undefined",345517
"40",41,41,46,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","40","gambleWin","25","370",1071,"39","undefined","undefined","undefined",347965
"41",42,42,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","41","nonGamble","25","398",1223,"38","undefined","undefined","undefined",350589
"42",43,43,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","42","gambleWin","25","1017",2423,"37","undefined","undefined","undefined",355038
"43",44,44,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","43","nonGamble","25","2210",1375,"40","undefined","undefined","undefined",359629
"44",45,45,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","44","nonGamble","25","381",1054,"38","undefined","undefined","undefined",362069
"45",46,46,46,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","45","gambleWin","25","548",1118,"39","undefined","undefined","undefined",364741
"46",47,47,46,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","46","gambleLoss","25","566",2201,"39","undefined","undefined","undefined",368511
"47",48,48,46,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","47","gambleLoss","25","323",948,"39","undefined","undefined","undefined",370788
"48",49,49,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","48","nonGamble","25","125",871,"40","undefined","undefined","undefined",372789
"49",50,50,46,18,"Female","Belgian","Happy","<img src='images/green25.png'></img>","No music","49","gambleWin","25","533",1968,"37","undefined","undefined","undefined",376293
"50",51,51,46,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","50","gambleLoss","25","27",1061,"37","undefined","undefined","undefined",378388
"51",52,52,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","51","nonGamble","25","52",1060,"38","undefined","undefined","undefined",380508
"52",53,53,46,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","52","gambleWin","25","385",719,"37","undefined","undefined","undefined",382620
"53",54,54,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","No music","53","gambleLoss","25","77",1132,"37","undefined","undefined","undefined",384836
"54",55,55,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","54","nonGamble","25","541",775,"40","undefined","undefined","undefined",387156
"55",56,56,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","No music","55","nonGamble","25","34",1305,"40","undefined","undefined","undefined",389502
"56",57,57,46,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","56","gambleWin","25","332",957,"39","undefined","undefined","undefined",391796
"57",58,58,46,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","57","gambleWin","25","788",1672,"39","undefined","undefined","undefined",395262
"58",59,59,46,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","58","gambleLoss","25","462",3436,"37","undefined","undefined","undefined",400164
"59",60,60,46,18,"Female","Belgian","Happy","<img src='images/orange25.png'></img>","No music","59","gambleWin","25","401",1202,"37","undefined","undefined","undefined",402774
"60",61,61,46,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","No music","60","gambleLoss","25","961",1204,"39","undefined","undefined","undefined",405947
"61",62,62,46,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","Negative valence","61","gambleLoss","25","1815",1319,"37","undefined","undefined","undefined",453080
"62",63,63,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","Negative valence","62","nonGamble","25","532",1246,"38","undefined","undefined","undefined",455864
"63",64,64,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","Negative valence","63","nonGamble","25","723",742,"40","undefined","undefined","undefined",458335
"64",65,65,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","Negative valence","64","gambleLoss","25","321",2128,"37","undefined","undefined","undefined",461792
"65",66,66,46,18,"Female","Belgian","Happy","<img src='images/blue25.png'></img>","Negative valence","65","gambleLoss","25","411",858,"37","undefined","undefined","undefined",464066
"66",67,67,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","Negative valence","66","gambleLoss","25","161",765,"37","undefined","undefined","undefined",465999
"67",68,68,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","Negative valence","67","nonGamble","25","115",1127,"40","undefined","undefined","undefined",468247
"68",69,69,46,18,"Female","Belgian","Happy","<img src='images/purple0.png'></img>","Negative valence","68","nonGamble","25","439",708,"40","undefined","undefined","undefined",470399
"69",70,70,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","Negative valence","69","gambleWin","25","542",573,"37","undefined","undefined","undefined",472519
"70",71,71,46,18,"Female","Belgian","Happy","<img src='images/yellow25.png'></img>","Negative valence","70","gambleWin","25","556",578,"37","undefined","undefined","undefined",474658
