"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",2,2,37,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","1","nonGamble","25","2066",1363,"38","undefined","undefined","undefined",198324
"2",3,3,37,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","2","gambleLoss","25","732",2330,"37","undefined","undefined","undefined",202393
"3",4,4,37,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","3","nonGamble","25","872",825,"38","undefined","undefined","undefined",205108
"4",5,5,37,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","4","nonGamble","25","929",964,"38","undefined","undefined","undefined",208008
"5",6,6,37,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","5","gambleWin","25","618",1208,"37","undefined","undefined","undefined",210838
"6",7,7,37,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","6","gambleLoss","25","1569",3171,"37","undefined","undefined","undefined",216583
"7",8,8,37,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","7","gambleWin","25","1561",976,"39","undefined","undefined","undefined",220126
"8",9,9,37,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","8","gambleWin","25","618",1454,"39","undefined","undefined","undefined",223202
"9",10,10,37,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","9","nonGamble","25","451",968,"38","undefined","undefined","undefined",225627
"10",11,11,37,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","10","gambleLoss","25","1377",1290,"37","undefined","undefined","undefined",229299
"11",12,12,37,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","11","gambleWin","25","675",1171,"37","undefined","undefined","undefined",232151
"12",13,13,37,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","12","nonGamble","25","1157",1190,"38","undefined","undefined","undefined",235505
"13",14,14,37,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","13","gambleWin","25","1219",1195,"39","undefined","undefined","undefined",238926
"14",15,15,37,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","14","gambleWin","25","1354",1007,"37","undefined","undefined","undefined",242291
"15",16,16,37,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","15","nonGamble","25","931",1113,"40","undefined","undefined","undefined",245339
"16",17,17,37,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","16","nonGamble","25","1052",1142,"38","undefined","undefined","undefined",248537
"17",18,18,37,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","17","nonGamble","25","724",992,"40","undefined","undefined","undefined",251257
"18",19,19,37,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","18","gambleWin","25","607",1120,"37","undefined","undefined","undefined",253989
"19",20,20,37,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","19","gambleWin","25","438",770,"37","undefined","undefined","undefined",256201
"20",21,21,37,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","20","gambleLoss","25","384",654,"37","undefined","undefined","undefined",258244
"21",22,22,37,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","21","gambleWin","25","356",497,"39","undefined","undefined","undefined",260102
"22",23,23,37,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","22","gambleWin","25","329",773,"39","undefined","undefined","undefined",262209
"23",24,24,37,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","23","nonGamble","25","135",966,"40","undefined","undefined","undefined",264313
"24",25,25,37,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","24","gambleWin","25","601",624,"37","undefined","undefined","undefined",266543
"25",26,26,37,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","25","nonGamble","25","652",1062,"40","undefined","undefined","undefined",269263
"26",27,27,37,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","26","gambleLoss","25","632",891,"37","undefined","undefined","undefined",271789
"27",28,28,37,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","27","gambleLoss","25","458",736,"37","undefined","undefined","undefined",273987
"28",29,29,37,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","28","gambleLoss","25","457",441,"39","undefined","undefined","undefined",275889
"29",30,30,37,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","29","gambleWin","25","329",315,"37","undefined","undefined","undefined",277537
"30",31,31,37,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","30","nonGamble","25","332",959,"40","undefined","undefined","undefined",279833
"31",32,32,37,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","31","nonGamble","25","408",946,"40","undefined","undefined","undefined",282192
"32",33,33,37,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","32","gambleLoss","25","432",688,"37","undefined","undefined","undefined",284318
"33",34,34,37,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","33","gambleWin","25","285",794,"37","undefined","undefined","undefined",286401
"34",35,35,37,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","34","nonGamble","25","509",599,"40","undefined","undefined","undefined",288513
"35",36,36,37,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","35","gambleLoss","25","806",510,"39","undefined","undefined","undefined",290834
"36",37,37,37,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","36","gambleWin","25","343",465,"39","undefined","undefined","undefined",292646
