"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",2,2,38,20,"Male","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","1","gambleWin","25","5407",6954,"39","undefined","undefined","undefined",142868
"2",3,3,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","2","nonGamble","25","890",1909,"40","undefined","undefined","undefined",146676
"3",4,4,38,20,"Male","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","3","gambleLoss","25","480",1495,"39","undefined","undefined","undefined",149656
"4",5,5,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","4","nonGamble","25","820",1928,"38","undefined","undefined","undefined",153409
"5",6,6,38,20,"Male","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","5","gambleLoss","25","757",969,"37","undefined","undefined","undefined",156142
"6",7,7,38,20,"Male","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","6","gambleLoss","25","320",1269,"37","undefined","undefined","undefined",158734
"7",8,8,38,20,"Male","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","7","gambleWin","25","451",1102,"39","undefined","undefined","undefined",161291
"8",9,9,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","8","nonGamble","25","359",1732,"38","undefined","undefined","undefined",164388
"9",10,10,38,20,"Male","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","9","gambleWin","25","313",879,"39","undefined","undefined","undefined",166585
"10",11,11,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","10","nonGamble","25","545",593,"40","undefined","undefined","undefined",168728
"11",12,12,38,20,"Male","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","11","gambleWin","25","404",1266,"37","undefined","undefined","undefined",171403
"12",13,13,38,20,"Male","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","12","gambleWin","25","380",1035,"37","undefined","undefined","undefined",173823
"13",14,14,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","13","nonGamble","25","305",514,"38","undefined","undefined","undefined",175647
"14",15,15,38,20,"Male","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","14","gambleWin","25","269",852,"39","undefined","undefined","undefined",177771
"15",16,16,38,20,"Male","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","15","gambleLoss","25","332",790,"39","undefined","undefined","undefined",179899
"16",17,17,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","16","nonGamble","25","305",621,"40","undefined","undefined","undefined",181827
"17",18,18,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","17","nonGamble","25","612",1876,"38","undefined","undefined","undefined",185320
"18",19,19,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","18","nonGamble","25","63",1714,"40","undefined","undefined","undefined",188101
"19",20,20,38,20,"Male","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","19","gambleWin","25","1289",1247,"37","undefined","undefined","undefined",191643
"20",21,21,38,20,"Male","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","20","gambleWin","25","544",959,"39","undefined","undefined","undefined",194150
"21",22,22,38,20,"Male","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","21","gambleLoss","25","440",1233,"37","undefined","undefined","undefined",196829
"22",23,23,38,20,"Male","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","22","gambleLoss","25","10",1181,"39","undefined","undefined","undefined",199023
"23",24,24,38,20,"Male","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","23","gambleWin","25","406",606,"39","undefined","undefined","undefined",201039
"24",25,25,38,20,"Male","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","24","gambleLoss","25","359",897,"39","undefined","undefined","undefined",203300
"25",26,26,38,20,"Male","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","25","gambleLoss","25","371",926,"37","undefined","undefined","undefined",205601
"26",27,27,38,20,"Male","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","26","gambleLoss","25","214",610,"37","undefined","undefined","undefined",207428
"27",28,28,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","27","nonGamble","25","46",1208,"40","undefined","undefined","undefined",209686
"28",29,29,38,20,"Male","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","28","gambleWin","25","488",776,"39","undefined","undefined","undefined",211952
"29",30,30,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","29","nonGamble","25","426",1427,"40","undefined","undefined","undefined",214808
"30",31,31,38,20,"Male","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","30","gambleWin","25","296",878,"39","undefined","undefined","undefined",216987
"31",32,32,38,20,"Male","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","31","gambleWin","25","250",751,"39","undefined","undefined","undefined",218992
"32",33,33,38,20,"Male","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","32","gambleLoss","25","503",786,"39","undefined","undefined","undefined",221286
"33",34,34,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","33","nonGamble","25","473",654,"40","undefined","undefined","undefined",223417
"34",35,35,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","34","nonGamble","25","437",654,"38","undefined","undefined","undefined",225512
"35",36,36,38,20,"Male","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","35","gambleWin","25","429",609,"37","undefined","undefined","undefined",227555
"36",37,37,38,20,"Male","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","36","gambleLoss","25","468",564,"39","undefined","undefined","undefined",229593
"37",38,38,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","37","nonGamble","25","376",502,"40","undefined","undefined","undefined",231474
"38",39,39,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","38","nonGamble","25","360",499,"40","undefined","undefined","undefined",233338
"39",40,40,38,20,"Male","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","39","gambleLoss","25","392",2936,"37","undefined","undefined","undefined",237670
"40",41,41,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","40","nonGamble","25","407",672,"38","undefined","undefined","undefined",239754
"41",42,42,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","41","nonGamble","25","337",567,"38","undefined","undefined","undefined",241663
"42",43,43,38,20,"Male","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","42","gambleWin","25","275",621,"39","undefined","undefined","undefined",243563
"43",44,44,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","43","nonGamble","25","391",630,"40","undefined","undefined","undefined",245587
"44",45,45,38,20,"Male","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","44","gambleLoss","25","396",564,"39","undefined","undefined","undefined",247552
"45",46,46,38,20,"Male","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","45","gambleLoss","25","220",610,"37","undefined","undefined","undefined",249387
"46",47,47,38,20,"Male","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","46","gambleLoss","25","297",709,"39","undefined","undefined","undefined",251410
"47",48,48,38,20,"Male","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","47","gambleLoss","25","319",602,"39","undefined","undefined","undefined",253339
"48",49,49,38,20,"Male","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","48","gambleWin","25","553",296,"39","undefined","undefined","undefined",255191
"49",50,50,38,20,"Male","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","49","gambleLoss","25","393",615,"39","undefined","undefined","undefined",257202
"50",51,51,38,20,"Male","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","50","gambleLoss","25","198",535,"37","undefined","undefined","undefined",258940
"51",52,52,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","51","nonGamble","25","286",974,"38","undefined","undefined","undefined",261205
"52",53,53,38,20,"Male","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","52","gambleWin","25","241",495,"37","undefined","undefined","undefined",262945
"53",54,54,38,20,"Male","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","53","gambleLoss","25","377",618,"37","undefined","undefined","undefined",264945
"54",55,55,38,20,"Male","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","54","gambleWin","25","320",920,"37","undefined","undefined","undefined",267189
"55",56,56,38,20,"Male","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","55","gambleWin","25","302",990,"37","undefined","undefined","undefined",269487
"56",57,57,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","56","nonGamble","25","235",1314,"38","undefined","undefined","undefined",272040
"57",58,58,38,20,"Male","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","57","gambleWin","25","338",648,"37","undefined","undefined","undefined",274030
"58",59,59,38,20,"Male","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","58","gambleLoss","25","558",758,"39","undefined","undefined","undefined",276348
"59",60,60,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","59","nonGamble","25","288",715,"40","undefined","undefined","undefined",278369
"60",61,61,38,20,"Male","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","60","gambleWin","25","432",577,"37","undefined","undefined","undefined",280383
"61",62,62,38,20,"Male","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","Negative valence","61","gambleWin","25","1501",866,"37","undefined","undefined","undefined",312709
"62",63,63,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","Negative valence","62","nonGamble","25","295",798,"40","undefined","undefined","undefined",314812
"63",64,64,38,20,"Male","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","Negative valence","63","gambleLoss","25","229",499,"39","undefined","undefined","undefined",316549
"64",65,65,38,20,"Male","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","Negative valence","64","nonGamble","25","265",890,"38","undefined","undefined","undefined",318708
"65",66,66,38,20,"Male","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","Negative valence","65","gambleLoss","25","383",992,"37","undefined","undefined","undefined",321101
"66",67,67,38,20,"Male","Belgian","Somewhat happy","<img src='images/green25.png'></img>","Negative valence","66","gambleLoss","25","336",995,"37","undefined","undefined","undefined",323440
