"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",2,2,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","1","gambleLoss","25","1578",1066,"39","undefined","undefined","undefined",138383
"2",3,3,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","2","nonGamble","25","997",2215,"38","undefined","undefined","undefined",142610
"3",4,4,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","3","nonGamble","25","714",750,"38","undefined","undefined","undefined",145081
"4",5,5,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","4","nonGamble","25","565",612,"40","undefined","undefined","undefined",147267
"5",6,6,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","5","nonGamble","25","219",751,"38","undefined","undefined","undefined",149249
"6",7,7,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","6","nonGamble","25","609",559,"38","undefined","undefined","undefined",151430
"7",8,8,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","7","gambleWin","25","274",716,"37","undefined","undefined","undefined",153427
"8",9,9,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","8","gambleWin","25","587",1824,"39","undefined","undefined","undefined",156849
"9",10,10,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","9","gambleWin","25","995",923,"37","undefined","undefined","undefined",159775
"10",11,11,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","10","gambleWin","25","395",759,"39","undefined","undefined","undefined",161938
"11",12,12,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","11","gambleLoss","25","318",1583,"37","undefined","undefined","undefined",164849
"12",13,13,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","12","gambleWin","25","426",1027,"39","undefined","undefined","undefined",167317
"13",14,14,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","13","gambleWin","25","523",899,"39","undefined","undefined","undefined",169754
"14",15,15,8,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","14","nonGamble","25","286",556,"38","undefined","undefined","undefined",171608
