"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",1,1,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","1","gambleLoss","25","775",703,"37","undefined","undefined","undefined",50137
"2",2,2,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","2","gambleLoss","25","384",596,"39","undefined","undefined","undefined",52130
"3",3,3,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","3","gambleLoss","25","272",572,"39","undefined","undefined","undefined",53987
"4",4,4,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","4","nonGamble","25","43",890,"38","undefined","undefined","undefined",55932
"5",5,5,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","5","gambleWin","25","407",498,"39","undefined","undefined","undefined",57850
"6",6,6,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","6","gambleLoss","25","184",615,"37","undefined","undefined","undefined",59664
"7",7,7,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","7","gambleLoss","25","295",618,"39","undefined","undefined","undefined",61589
"8",8,8,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","8","gambleLoss","25","157",531,"39","undefined","undefined","undefined",63291
"9",9,9,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","9","nonGamble","25","40",654,"38","undefined","undefined","undefined",64993
"10",10,10,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","10","nonGamble","25","3",1459,"40","undefined","undefined","undefined",67465
"11",11,11,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","11","gambleWin","25","86",649,"37","undefined","undefined","undefined",69212
"12",12,12,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","12","nonGamble","25","507",482,"38","undefined","undefined","undefined",71214
"13",13,13,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","13","gambleWin","25","211",460,"39","undefined","undefined","undefined",72898
"14",14,14,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","14","gambleLoss","25","222",517,"39","undefined","undefined","undefined",74649
"15",15,15,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","15","gambleWin","25","141",451,"39","undefined","undefined","undefined",76255
"16",16,16,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","16","nonGamble","25","239",572,"38","undefined","undefined","undefined",78071
"17",17,17,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","17","gambleLoss","25","5",442,"39","undefined","undefined","undefined",79527
"18",18,18,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","18","gambleWin","25","50",526,"39","undefined","undefined","undefined",81109
"19",19,19,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","19","gambleWin","25","226",642,"39","undefined","undefined","undefined",82984
"20",20,20,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","20","gambleLoss","25","156",477,"39","undefined","undefined","undefined",84625
"21",21,21,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","21","gambleWin","25","149",450,"39","undefined","undefined","undefined",86230
"22",22,22,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","22","gambleWin","25","217",471,"39","undefined","undefined","undefined",87926
"23",23,23,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","23","nonGamble","25","194",566,"38","undefined","undefined","undefined",89694
"24",24,24,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","24","gambleWin","25","363",418,"39","undefined","undefined","undefined",91481
"25",25,25,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","25","nonGamble","25","221",534,"38","undefined","undefined","undefined",93243
"26",26,26,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","26","gambleLoss","25","134",419,"39","undefined","undefined","undefined",94804
"27",27,27,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","27","gambleWin","25","315",557,"39","undefined","undefined","undefined",96686
"28",28,28,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/orange25.png'></img>","No music","28","gambleWin","25","155",479,"39","undefined","undefined","undefined",98330
"29",29,29,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","29","gambleWin","25","87",404,"39","undefined","undefined","undefined",99830
"30",30,30,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","30","gambleWin","25","161",363,"39","undefined","undefined","undefined",101362
"31",31,31,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","31","gambleWin","25","292",274,"39","undefined","undefined","undefined",102936
"32",32,32,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","32","gambleWin","25","41",313,"39","undefined","undefined","undefined",104300
"33",33,33,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","33","nonGamble","25","153",607,"38","undefined","undefined","undefined",106071
"34",34,34,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","34","nonGamble","25","325",595,"38","undefined","undefined","undefined",108002
"35",35,35,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","35","gambleWin","25","209",503,"39","undefined","undefined","undefined",109722
"36",36,36,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","36","gambleLoss","25","175",379,"39","undefined","undefined","undefined",111286
"37",37,37,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","37","gambleWin","25","229",419,"39","undefined","undefined","undefined",112943
"38",38,38,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/green25.png'></img>","No music","38","gambleLoss","25","249",535,"39","undefined","undefined","undefined",114735
"39",39,39,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","39","gambleWin","25","144",450,"39","undefined","undefined","undefined",116339
"40",40,40,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","40","gambleLoss","25","261",657,"39","undefined","undefined","undefined",118269
"41",41,41,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/purple0.png'></img>","No music","41","nonGamble","25","168",919,"38","undefined","undefined","undefined",120369
"42",42,42,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/blue25.png'></img>","No music","42","gambleLoss","25","180",447,"39","undefined","undefined","undefined",122006
"43",43,43,62,18,"Female","Belgian","Somewhat unhappy","<img src='images/yellow25.png'></img>","No music","43","gambleLoss","25","226",406,"39","undefined","undefined","undefined",123650
