"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",1,1,75,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","1","gambleLoss","25","2145",1483,"37","undefined","undefined","undefined",124275
"2",2,2,75,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","2","gambleWin","25","1171",1048,"39","undefined","undefined","undefined",127504
"3",3,3,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","3","nonGamble","25","595",3214,"38","undefined","undefined","undefined",132321
"4",4,4,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","4","nonGamble","25","1550",2480,"40","undefined","undefined","undefined",137356
"5",5,5,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","5","nonGamble","25","655",1032,"40","undefined","undefined","undefined",140049
"6",6,6,75,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","6","gambleLoss","25","1145",1475,"39","undefined","undefined","undefined",143675
"7",7,7,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","7","nonGamble","25","1311",1502,"38","undefined","undefined","undefined",147492
"8",8,8,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","8","nonGamble","25","898",1485,"38","undefined","undefined","undefined",150883
"9",9,9,75,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","9","gambleWin","25","628",2091,"39","undefined","undefined","undefined",154609
"10",10,10,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","10","nonGamble","25","1411",1404,"40","undefined","undefined","undefined",158430
"11",11,11,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","11","nonGamble","25","1535",731,"40","undefined","undefined","undefined",161705
"12",12,12,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","12","nonGamble","25","595",835,"38","undefined","undefined","undefined",164141
"13",13,13,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","13","nonGamble","25","571",983,"40","undefined","undefined","undefined",166702
"14",14,14,75,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","14","gambleLoss","25","641",1075,"37","undefined","undefined","undefined",169426
"15",15,15,75,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","15","gambleLoss","25","1184",1431,"39","undefined","undefined","undefined",173048
"16",16,16,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","16","nonGamble","25","879",1119,"40","undefined","undefined","undefined",176053
"17",17,17,75,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","17","gambleWin","25","722",1306,"37","undefined","undefined","undefined",179088
"18",18,18,75,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","18","gambleLoss","25","1679",1434,"37","undefined","undefined","undefined",183208
"19",19,19,75,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","19","gambleWin","25","573",1013,"39","undefined","undefined","undefined",185801
"20",20,20,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","20","nonGamble","25","747",1041,"40","undefined","undefined","undefined",188596
"21",21,21,75,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","21","gambleWin","25","710",1482,"37","undefined","undefined","undefined",191794
"22",22,22,75,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","22","gambleWin","25","746",1227,"39","undefined","undefined","undefined",194775
"23",23,23,75,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","23","gambleWin","25","1028",730,"37","undefined","undefined","undefined",197541
"24",24,24,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","24","nonGamble","25","503",1221,"38","undefined","undefined","undefined",200271
"25",25,25,75,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","25","gambleWin","25","883",828,"39","undefined","undefined","undefined",202989
"26",26,26,75,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","26","gambleLoss","25","775",820,"37","undefined","undefined","undefined",205591
"27",27,27,75,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","27","gambleWin","25","688",2117,"37","undefined","undefined","undefined",209403
"28",28,28,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","28","nonGamble","25","653",1024,"40","undefined","undefined","undefined",212087
"29",29,29,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","29","nonGamble","25","581",891,"38","undefined","undefined","undefined",214568
"30",30,30,75,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","30","gambleLoss","25","516",1317,"39","undefined","undefined","undefined",217407
"31",31,31,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","31","nonGamble","25","705",1358,"38","undefined","undefined","undefined",220477
"32",32,32,75,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","32","gambleLoss","25","612",1314,"39","undefined","undefined","undefined",223409
"33",33,33,75,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","33","gambleLoss","25","1127",1831,"39","undefined","undefined","undefined",227374
"34",34,34,75,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","34","gambleWin","25","1364",882,"37","undefined","undefined","undefined",230629
"35",35,35,75,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","35","gambleLoss","25","786",1343,"39","undefined","undefined","undefined",233765
"36",36,36,75,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","36","gambleWin","25","708",1053,"37","undefined","undefined","undefined",236531
"37",37,37,75,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","37","gambleLoss","25","549",531,"37","undefined","undefined","undefined",238617
"38",38,38,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","38","nonGamble","25","500",1058,"40","undefined","undefined","undefined",241182
"39",39,39,75,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","39","gambleWin","25","472",1377,"37","undefined","undefined","undefined",244039
"40",40,40,75,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","40","gambleLoss","25","599",900,"39","undefined","undefined","undefined",246544
"41",41,41,75,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","41","gambleLoss","25","821",1304,"39","undefined","undefined","undefined",249673
"42",42,42,75,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","42","gambleLoss","25","402",728,"37","undefined","undefined","undefined",251810
"43",43,43,75,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","43","gambleLoss","25","330",720,"37","undefined","undefined","undefined",253862
"44",44,44,75,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","44","gambleWin","25","434",768,"37","undefined","undefined","undefined",256071
"45",45,45,75,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","45","gambleWin","25","516",850,"39","undefined","undefined","undefined",258441
"46",46,46,75,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","46","gambleLoss","25","396",1033,"39","undefined","undefined","undefined",260877
"47",47,47,75,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","47","gambleWin","25","471",951,"39","undefined","undefined","undefined",263307
"48",48,48,75,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","48","gambleLoss","25","426",510,"37","undefined","undefined","undefined",265248
"49",49,49,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","49","nonGamble","25","344",1130,"38","undefined","undefined","undefined",267730
"50",50,50,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","50","nonGamble","25","604",656,"40","undefined","undefined","undefined",269997
"51",51,51,75,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","51","gambleLoss","25","1113",897,"39","undefined","undefined","undefined",273014
"52",52,52,75,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","52","gambleLoss","25","935",1114,"39","undefined","undefined","undefined",276070
"53",53,53,75,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","No music","53","gambleWin","25","462",510,"37","undefined","undefined","undefined",278049
"54",54,54,75,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","54","gambleWin","25","846",650,"37","undefined","undefined","undefined",280552
"55",55,55,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","55","nonGamble","25","460",1002,"38","undefined","undefined","undefined",283022
"56",56,56,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","No music","56","nonGamble","25","500",939,"40","undefined","undefined","undefined",285465
"57",57,57,75,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","57","gambleWin","25","445",787,"39","undefined","undefined","undefined",287700
"58",58,58,75,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","No music","58","gambleLoss","25","480",581,"37","undefined","undefined","undefined",289765
"59",59,59,75,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","No music","59","gambleWin","25","396",745,"39","undefined","undefined","undefined",291916
"60",60,60,75,18,"Female","Belgian","Somewhat happy","<img src='images/orange25.png'></img>","No music","60","gambleWin","25","559",445,"39","undefined","undefined","undefined",293926
"61",61,61,75,18,"Female","Belgian","Somewhat happy","<img src='images/yellow25.png'></img>","Positive valence","61","gambleLoss","25","2731",793,"39","undefined","undefined","undefined",317834
"62",62,62,75,18,"Female","Belgian","Somewhat happy","<img src='images/blue25.png'></img>","Positive valence","62","gambleWin","25","606",858,"39","undefined","undefined","undefined",320307
"63",63,63,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","63","nonGamble","25","431",984,"40","undefined","undefined","undefined",322727
"64",64,64,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","64","nonGamble","25","1379",865,"40","undefined","undefined","undefined",325978
"65",65,65,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","65","nonGamble","25","727",684,"38","undefined","undefined","undefined",328396
"66",66,66,75,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","Positive valence","66","gambleLoss","25","408",877,"37","undefined","undefined","undefined",330686
"67",67,67,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","67","nonGamble","25","1005",935,"40","undefined","undefined","undefined",333630
"68",68,68,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","68","nonGamble","25","497",923,"38","undefined","undefined","undefined",336054
"69",69,69,75,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","Positive valence","69","gambleWin","25","515",902,"39","undefined","undefined","undefined",338479
"70",70,70,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","70","nonGamble","25","372",1027,"40","undefined","undefined","undefined",340885
"71",71,71,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","71","nonGamble","25","593",984,"40","undefined","undefined","undefined",343471
"72",72,72,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","72","nonGamble","25","1159",851,"38","undefined","undefined","undefined",346490
"73",73,73,75,18,"Female","Belgian","Somewhat happy","<img src='images/purple0.png'></img>","Positive valence","73","nonGamble","25","601",978,"38","undefined","undefined","undefined",349078
"74",74,74,75,18,"Female","Belgian","Somewhat happy","<img src='images/green25.png'></img>","Positive valence","74","gambleLoss","25","671",973,"39","undefined","undefined","undefined",351729
